"Customweb_Subscription::Describe the subscription and schedule. The value of this field is used for configurable product options.","Describe the schedule and subscription. The value of this field is used for configurable product options."
"Customweb_Subscription::Describe the subscription cart plan. This value is used on the cart page in the subscription cart plan dropdown and to describe the subscription.","Describe the subscription cart plan. This value is used on the cart page in the subscription cart plan dropdown and to describe the subscription."
"Customweb_Subscription::Describe the subscription plan. This value is used on the cart page in the subscription plan dropdown and to describe the subscription.","Describe the subscription plan. This description is then shown on the cart page in the subscription plan drop-down."
"Customweb_Subscription::Description","This controls the description which the user sees during checkout."
"Customweb_Subscription::Diners Club","Diners Club"
"Customweb_Subscription::Direct Debits","Direct Debits (ELV)"
"Customweb_Subscription::Direct E-Banking","Direct E-Banking"
"Customweb_Subscription::Directly after order (sale)","Direct capturing"
"Customweb_Subscription::Discount Amount","Discount Amount"
"Customweb_Subscription::Do you really want to cancel this subscription?","Do you really want to cancel this subscription?"
"Customweb_Subscription::Do you really want to suspend this subscription?","Do you really want to suspend this subscription?"
"Customweb_Subscription::Don't change order status","Don't change order status"
"Customweb_Subscription::Edit","Edit"
"Customweb_Subscription::Email Sender","Email Sender"
"Customweb_Subscription::Email Settings","Email Settings"
"Customweb_Subscription::Email Template","Email Template"
"Customweb_Subscription::Enable Agreement","Enable Agreement"
"Customweb_Subscription::Enable Cart Subscriptions","Enable Cart Subscriptions"
"Customweb_Subscription::Enable Subscription","Enable Subscription"
"Customweb_Subscription::Enable Test Mode","Enable Test Mode"
"Customweb_Subscription::Enable the payment method","Enable this payment method"
"Customweb_Subscription::Enabled","Enabled"
"Customweb_Subscription::Enter a Starting Date (Format: yyyy-mm-dd) to simulate the recurring orders. If the test cron is activated the recurring orders will be simulated starting from the day entered above.","Enter a Starting Date (Format: yyyy-mm-dd) to simulate the recurring orders. If the test cron is activated the recurring orders will be simulated starting from the day entered above."
"Customweb_Subscription::Enter the date on which your card expires.","Enter the card expiry date."
"Customweb_Subscription::Enter the number of days this payment attempt should take place before the actual due date of the subscription.","Enter the number of days before the actual due date of the subscription on which this payment attempt should take place."
"Customweb_Subscription::Enter when this reminder email should be sent before the actual due date of the subscription. This has to be a number.","Enter when this reminder email should be sent before the actual due date of the subscription. This has to be a number."
"Customweb_Subscription::Equals initial order","Equals initial order"
"Customweb_Subscription::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_Subscription::Excl. Tax","Excl. Tax"
"Customweb_Subscription::Expired","Expired"
"Customweb_Subscription::External Checkout","External Checkout"
"Customweb_Subscription::Failed","Failed"
"Customweb_Subscription::Failed to delete the subscriptions.","Failed to delete the subscriptions."
"Customweb_Subscription::Failed to update the subscription.","Failed to update the subscription."
"Customweb_Subscription::Failed to update the subscriptions.","Failed to update the subscription."
"Customweb_Subscription::Failure Email Template","Failure Email Template"
"Customweb_Subscription::Figure !number:","Figure !number:"
"Customweb_Subscription::Fixed Shipping","Fixed shipping"
"Customweb_Subscription::G.T. (Base)","G.T. (Base)"
"Customweb_Subscription::G.T. (Purchased)","G.T. (Purchased)"
"Customweb_Subscription::General Settings","General Settings"
"Customweb_Subscription::Guest Order Email Template","Guest Order Email Template"
"Customweb_Subscription::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to ____paymentServiceProviderName____. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_Subscription::Hour","Hour"
"Customweb_Subscription::IBAN","IBAN"
"Customweb_Subscription::IBAN number","Bank account number (IBAN)"
"Customweb_Subscription::ID","ID"
"Customweb_Subscription::If enabled, the customer has to agree to the subscription in the checkout review. In order for this to work, you have to enable Terms and Conditions in the Checkout config tab.","If enabled, the customer has to agree to the subscription in the checkout review. In order for this to work, you have to enable Terms and Conditions in the Checkout config tab."
"Customweb_Subscription::If it is not applicable leave the field empty.","If it is not applicable leave the field empty."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","If the status is 'Pending' it is unclear whether the transaction will be refunded successfully."
"Customweb_Subscription::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_Subscription::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_Subscription::Image Brand Selection","Image Brand Selection"
"Customweb_Subscription::In Stock","In stock"
"Customweb_Subscription::In case you selected a fixed shipping type, enter the shipping costs above.","In case you selected a fixed shipping fee, enter the shipping costs above."
"Customweb_Subscription::Inactive","Inactive"
"Customweb_Subscription::Incl. Tax","Incl. Tax"
"Customweb_Subscription::Information","Information"
"Customweb_Subscription::Initial Discount","Initial discount"
"Customweb_Subscription::Initial Fee","Initial fee"
"Customweb_Subscription::Initial Fee/Discount","Initial Fee/Discount"
"Customweb_Subscription::Initial Subscription Discount","Initial subscription discount"
"Customweb_Subscription::Initial Subscription Fee","Initial subscription fee"
"Customweb_Subscription::Invalid parent block for this block.","Invalid parent block for this block."
"Customweb_Subscription::Invoice Settlement","Invoice Settlement"
"Customweb_Subscription::Invoice settlement","Invoice settlement"
"Customweb_Subscription::Is the customer allowed to suspend the subscription?","Is the customer allowed to suspend the subscription?"
"Customweb_Subscription::Issue Number","Issue Number"
"Customweb_Subscription::Item","Item"
"Customweb_Subscription::JCB","JCB"
"Customweb_Subscription::Last Billed","Last billed"
"Customweb_Subscription::Live HMAC Key","Live HMAC Key"
"Customweb_Subscription::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_Subscription::Live Mode","Live Mode"
"Customweb_Subscription::Live Password","Live Password"
"Customweb_Subscription::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_Subscription::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_Subscription::MasterCard","MasterCard"
"Customweb_Subscription::Maximum Billing Cycles","Maximum billing cycles"
"Customweb_Subscription::Maximum Order Total","Maximal order total"
"Customweb_Subscription::Minimum Order Total","Minimum order total"
"Customweb_Subscription::Minute","Minute"
"Customweb_Subscription::Month","Month"
"Customweb_Subscription::My Subscriptions","My Subscriptions"
"Customweb_Subscription::Name","Name"
"Customweb_Subscription::Name in %s","Name in %s"
"Customweb_Subscription::Never","Never"
"Customweb_Subscription::New Order Status","New order status"
"Customweb_Subscription::Next Cycle","Next cycle"
"Customweb_Subscription::Next Due Date","Next Due Date"
"Customweb_Subscription::Next Update Execution Date","Next Update Execution Date"
"Customweb_Subscription::No","No"
"Customweb_Subscription::No Invoice Settlement","No invoice settlement"
"Customweb_Subscription::No authorization method found for payment method !method.","No authorization method found for payment method !method."
"Customweb_Subscription::No information available.","No information available."
"Customweb_Subscription::No reminders are configured.","No reminders were configured."
"Customweb_Subscription::No, use the dropdown.","No, use the dropdown menu."
"Customweb_Subscription::None","None"
